STATE,COUNTY,VARIABLE,POP
Ohio,Marion,Australia and New Zealand,7
Ohio,Morrow,Australia and New Zealand,0
Ohio,Perry,Australia and New Zealand,14
Ohio,Pickaway,Australia and New Zealand,0
Ohio,Ross,Australia and New Zealand,0
Ohio,Union,Australia and New Zealand,0
Ohio,Delaware,Fiji,0
Ohio,Fairfield,Fiji,0
Ohio,Fayette,Fiji,0
Ohio,Franklin,Fiji,0
Ohio,Hocking,Fiji,0
Ohio,Knox,Fiji,0
Ohio,Licking,Fiji,0
Ohio,Logan,Fiji,0
Ohio,Madison,Fiji,0
Ohio,Marion,Fiji,0
Ohio,Morrow,Fiji,0
Ohio,Perry,Fiji,0
Ohio,Pickaway,Fiji,0
Ohio,Ross,Fiji,0
Ohio,Union,Fiji,50
Ohio,Delaware,"Oceania, other",0
Ohio,Fairfield,"Oceania, other",0
Ohio,Fayette,"Oceania, other",0
Ohio,Franklin,"Oceania, other",219
Ohio,Hocking,"Oceania, other",0
Ohio,Knox,"Oceania, other",0
Ohio,Licking,"Oceania, other",0
Ohio,Logan,"Oceania, other",0
Ohio,Madison,"Oceania, other",0
Ohio,Marion,"Oceania, other",0
Ohio,Morrow,"Oceania, other",0
Ohio,Perry,"Oceania, other",0
Ohio,Pickaway,"Oceania, other",0
Ohio,Ross,"Oceania, other",0
Ohio,Union,"Oceania, other",0
Ohio,Delaware,Latin America,1869
Ohio,Fairfield,Latin America,1176
Ohio,Fayette,Latin America,300
Ohio,Franklin,Latin America,32830
Ohio,Hocking,Latin America,24
Ohio,Knox,Latin America,199
Ohio,Licking,Latin America,947
Ohio,Logan,Latin America,233
Ohio,Madison,Latin America,240
Ohio,Marion,Latin America,326
Ohio,Morrow,Latin America,25
Ohio,Perry,Latin America,69
Ohio,Pickaway,Latin America,181
Ohio,Ross,Latin America,164
Ohio,Union,Latin America,347
Ohio,Delaware,Northern America,604
Ohio,Fairfield,Northern America,147
Ohio,Fayette,Northern America,0
Ohio,Franklin,Northern America,2168
Ohio,Hocking,Northern America,0
Ohio,Knox,Northern America,36
Ohio,Licking,Northern America,168
Ohio,Logan,Northern America,25
Ohio,Madison,Northern America,2
Ohio,Marion,Northern America,26
Ohio,Morrow,Northern America,21
Ohio,Perry,Northern America,37
Ohio,Pickaway,Northern America,12
Ohio,Ross,Northern America,27
Ohio,Union,Northern America,126
,15County,"Africa, other",2965
,15County,Eastern Africa,26496
,15County,Middle Africa,2804
,15County,Northern Africa,5614
,15County,Southern Africa,726
,15County,Western Africa,19012
,15County,Latin America,38930
,15County,Northern America,3399
,15County,"Asia, other",324
,15County,Eastern Asia,20354
,15County,South Central Asia,42251
,15County,South Eastern Asia,11374
,15County,Western Asia,7153
,15County,Eastern Europe,7809
,15County,"Europe, other",0
,15County,Northern Europe,3497
,15County,Southern Europe,1659
,15County,Western Europe,3689
,15County,Australia and New Zealand,819
,15County,Fiji,50
,15County,"Oceania, other",219
