STATE,COUNTY,VARIABLE,POP
Ohio,Franklin,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",219
Ohio,Hocking,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Knox,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Licking,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Logan,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Madison,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Marion,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Morrow,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Perry,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Pickaway,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Ross,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Union,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",0
Ohio,Delaware,Estimate!!Total:!!Americas:!!Latin America:,1869
Ohio,Fairfield,Estimate!!Total:!!Americas:!!Latin America:,1176
Ohio,Fayette,Estimate!!Total:!!Americas:!!Latin America:,300
Ohio,Franklin,Estimate!!Total:!!Americas:!!Latin America:,32830
Ohio,Hocking,Estimate!!Total:!!Americas:!!Latin America:,24
Ohio,Knox,Estimate!!Total:!!Americas:!!Latin America:,199
Ohio,Licking,Estimate!!Total:!!Americas:!!Latin America:,947
Ohio,Logan,Estimate!!Total:!!Americas:!!Latin America:,233
Ohio,Madison,Estimate!!Total:!!Americas:!!Latin America:,240
Ohio,Marion,Estimate!!Total:!!Americas:!!Latin America:,326
Ohio,Morrow,Estimate!!Total:!!Americas:!!Latin America:,25
Ohio,Perry,Estimate!!Total:!!Americas:!!Latin America:,69
Ohio,Pickaway,Estimate!!Total:!!Americas:!!Latin America:,181
Ohio,Ross,Estimate!!Total:!!Americas:!!Latin America:,164
Ohio,Union,Estimate!!Total:!!Americas:!!Latin America:,347
Ohio,Delaware,Estimate!!Total:!!Americas:!!Northern America:,604
Ohio,Fairfield,Estimate!!Total:!!Americas:!!Northern America:,147
Ohio,Fayette,Estimate!!Total:!!Americas:!!Northern America:,0
Ohio,Franklin,Estimate!!Total:!!Americas:!!Northern America:,2168
Ohio,Hocking,Estimate!!Total:!!Americas:!!Northern America:,0
Ohio,Knox,Estimate!!Total:!!Americas:!!Northern America:,36
Ohio,Licking,Estimate!!Total:!!Americas:!!Northern America:,168
Ohio,Logan,Estimate!!Total:!!Americas:!!Northern America:,25
Ohio,Madison,Estimate!!Total:!!Americas:!!Northern America:,2
Ohio,Marion,Estimate!!Total:!!Americas:!!Northern America:,26
Ohio,Morrow,Estimate!!Total:!!Americas:!!Northern America:,21
Ohio,Perry,Estimate!!Total:!!Americas:!!Northern America:,37
Ohio,Pickaway,Estimate!!Total:!!Americas:!!Northern America:,12
Ohio,Ross,Estimate!!Total:!!Americas:!!Northern America:,27
Ohio,Union,Estimate!!Total:!!Americas:!!Northern America:,126
,15County,"Estimate!!Total:!!Africa:!!Africa, n.e.c.",2965
,15County,Estimate!!Total:!!Africa:!!Eastern Africa:,26496
,15County,Estimate!!Total:!!Africa:!!Middle Africa:,2804
,15County,Estimate!!Total:!!Africa:!!Northern Africa:,5614
,15County,Estimate!!Total:!!Africa:!!Southern Africa:,726
,15County,Estimate!!Total:!!Africa:!!Western Africa:,19012
,15County,Estimate!!Total:!!Americas:!!Latin America:,38930
,15County,Estimate!!Total:!!Americas:!!Northern America:,3399
,15County,"Estimate!!Total:!!Asia:!!Asia, n.e.c.",324
,15County,Estimate!!Total:!!Asia:!!Eastern Asia:,20354
,15County,Estimate!!Total:!!Asia:!!South Central Asia:,42251
,15County,Estimate!!Total:!!Asia:!!South Eastern Asia:,11374
,15County,Estimate!!Total:!!Asia:!!Western Asia:,7153
,15County,Estimate!!Total:!!Europe:!!Eastern Europe:,7809
,15County,"Estimate!!Total:!!Europe:!!Europe, n.e.c.",0
,15County,Estimate!!Total:!!Europe:!!Northern Europe:,3497
,15County,Estimate!!Total:!!Europe:!!Southern Europe:,1659
,15County,Estimate!!Total:!!Europe:!!Western Europe:,3689
,15County,Estimate!!Total:!!Oceania:!!Australia and New Zealand Subregion:,819
,15County,Estimate!!Total:!!Oceania:!!Fiji,50
,15County,"Estimate!!Total:!!Oceania:!!Oceania, n.e.c.",219
