STATE,COUNTY,VARIABLE,POP
Ohio,Hocking,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Knox,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Licking,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,30
Ohio,Logan,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,2
Ohio,Marion,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,0
Ohio,Union,Estimate!!Total:!!Europe:!!Northern Europe:!!United Kingdom (inc. Crown Dependencies):!!Scotland,8
Ohio,Delaware,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Fayette,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Franklin,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,29
Ohio,Hocking,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Knox,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Licking,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Logan,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Marion,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Union,Estimate!!Total:!!Europe:!!Northern Europe:!!Other Northern Europe,0
Ohio,Delaware,Estimate!!Total:!!Europe:!!Western Europe:,423
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Western Europe:,145
Ohio,Fayette,Estimate!!Total:!!Europe:!!Western Europe:,36
Ohio,Franklin,Estimate!!Total:!!Europe:!!Western Europe:,2192
Ohio,Hocking,Estimate!!Total:!!Europe:!!Western Europe:,21
Ohio,Knox,Estimate!!Total:!!Europe:!!Western Europe:,90
Ohio,Licking,Estimate!!Total:!!Europe:!!Western Europe:,412
Ohio,Logan,Estimate!!Total:!!Europe:!!Western Europe:,57
Ohio,Madison,Estimate!!Total:!!Europe:!!Western Europe:,62
Ohio,Marion,Estimate!!Total:!!Europe:!!Western Europe:,81
Ohio,Morrow,Estimate!!Total:!!Europe:!!Western Europe:,69
Ohio,Perry,Estimate!!Total:!!Europe:!!Western Europe:,29
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Western Europe:,5
Ohio,Ross,Estimate!!Total:!!Europe:!!Western Europe:,0
Ohio,Union,Estimate!!Total:!!Europe:!!Western Europe:,67
Ohio,Delaware,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,54
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Fayette,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Franklin,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,52
Ohio,Hocking,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Knox,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Licking,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,20
Ohio,Logan,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Marion,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Union,Estimate!!Total:!!Europe:!!Western Europe:!!Austria,0
Ohio,Delaware,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Fayette,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Franklin,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,135
Ohio,Hocking,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Knox,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Licking,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,16
Ohio,Logan,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Marion,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Union,Estimate!!Total:!!Europe:!!Western Europe:!!Belgium,0
Ohio,Delaware,Estimate!!Total:!!Europe:!!Western Europe:!!France,149
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Western Europe:!!France,6
Ohio,Fayette,Estimate!!Total:!!Europe:!!Western Europe:!!France,10
Ohio,Franklin,Estimate!!Total:!!Europe:!!Western Europe:!!France,344
Ohio,Hocking,Estimate!!Total:!!Europe:!!Western Europe:!!France,11
Ohio,Knox,Estimate!!Total:!!Europe:!!Western Europe:!!France,0
Ohio,Licking,Estimate!!Total:!!Europe:!!Western Europe:!!France,56
Ohio,Logan,Estimate!!Total:!!Europe:!!Western Europe:!!France,0
Ohio,Madison,Estimate!!Total:!!Europe:!!Western Europe:!!France,6
Ohio,Marion,Estimate!!Total:!!Europe:!!Western Europe:!!France,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Western Europe:!!France,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Western Europe:!!France,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Western Europe:!!France,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Western Europe:!!France,0
Ohio,Union,Estimate!!Total:!!Europe:!!Western Europe:!!France,12
Ohio,Delaware,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,190
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,139
Ohio,Fayette,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,26
Ohio,Franklin,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,1279
Ohio,Hocking,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,0
Ohio,Knox,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,58
Ohio,Licking,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,320
Ohio,Logan,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,42
Ohio,Madison,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,52
Ohio,Marion,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,81
Ohio,Morrow,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,69
Ohio,Perry,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,29
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,5
Ohio,Ross,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,0
Ohio,Union,Estimate!!Total:!!Europe:!!Western Europe:!!Germany,17
Ohio,Delaware,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,30
Ohio,Fairfield,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Fayette,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Franklin,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,294
Ohio,Hocking,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,10
Ohio,Knox,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,32
Ohio,Licking,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Logan,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,15
Ohio,Madison,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,4
Ohio,Marion,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Morrow,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Perry,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Pickaway,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Ross,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,0
Ohio,Union,Estimate!!Total:!!Europe:!!Western Europe:!!Netherlands,12
